length,score
5717,-367.0
2678,-200.0
2511,-300.0
4244,-362.0
2061,0.0
581,0.0
352,0.0
894,0.0
4685,-540.0
555,0.0
6543,-500.0
1101,0.0
393,0.0
925,-22.0
1158,0.0
2205,-14.0
15697,-1216.0
4081,-741.0
2460,-607.0
345,0.0
6367,-300.0
13192,-1423.0
595,-22.0
767,0.0
686,-22.0
3725,-400.0
776,0.0
2402,-252.0
599,-20.0
523,0.0
1343,0.0
820,0.0
417,0.0
412,0.0
5471,-847.0
440,0.0
3246,-243.0
590,0.0
2393,-200.0
531,0.0
2258,-100.0
9555,-846.0
2861,0.0
654,0.0
1377,0.0
414,0.0
772,-15.0
2928,-100.0
3664,-200.0
4456,-264.0
6963,-500.0
1133,0.0
832,-26.0
824,-28.0
1958,-100.0
662,0.0
3090,-200.0
577,0.0
566,-100.0
6870,-346.0
780,0.0
1854,-100.0
1579,-333.0
1356,-100.0
493,0.0
3695,-687.0
424,0.0
3083,-144.0
1536,0.0
1587,-300.0
1013,-146.0
3797,-500.0
10540,-1847.0
444,0.0
911,0.0
1108,0.0
1102,0.0
435,0.0
4765,-275.0
581,-24.0
656,0.0
5532,-400.0
631,0.0
1932,-254.0
5306,-400.0
6651,-667.0
545,0.0
571,-10.0
1213,-39.0
6877,-233.0
870,0.0
4037,-567.0
7488,-448.0
