length,score
1049,0.0
648,0.0
16868,-2000.0
661,-25.0
629,0.0
1852,-261.0
519,0.0
4743,-100.0
691,0.0
4325,-620.0
2316,-504.0
1698,0.0
2196,-105.0
3037,-306.0
4512,-1304.0
666,-21.0
6834,-1337.0
8941,-638.0
12109,-1047.0
3009,-419.0
1221,0.0
4133,-594.0
827,-51.0
609,0.0
1126,0.0
720,-5.0
582,0.0
918,-38.0
633,-20.0
631,-20.0
657,0.0
757,0.0
722,0.0
4178,-919.0
2370,-140.0
9512,-1335.0
750,-3.0
1102,-48.0
1034,-34.0
925,-40.0
528,0.0
1145,-231.0
4567,-700.0
531,0.0
3107,-300.0
5165,-200.0
3761,-416.0
508,-22.0
463,0.0
2206,-321.0
6592,-500.0
547,0.0
1813,-9.0
2137,-68.0
428,-44.0
524,0.0
2859,-100.0
502,-20.0
1098,0.0
5782,-300.0
1586,-100.0
626,0.0
4906,-300.0
5952,-620.0
598,-28.0
3301,-361.0
512,0.0
737,-36.0
364,0.0
3055,-200.0
665,-10.0
751,-40.0
851,-32.0
1277,0.0
729,0.0
1936,-139.0
693,-22.0
766,0.0
7855,-647.0
628,0.0
1208,-24.0
2363,-140.0
758,0.0
2303,-100.0
6275,-387.0
1189,-349.0
5499,-1084.0
606,0.0
668,0.0
1511,-65.0
584,-43.0
6349,-1011.0
3586,-100.0
1077,0.0
3009,-419.0
